officeCode,schoolCode,schoolName
M10,8000550,(가칭)단재고등학교
M10,       ,(가칭)오송2고등학교
M10,8011009,가경중학교
M10,8011163,가경초등학교
M10,8111011,가곡초등학교
M10,8111022,가곡초등학교대곡분교장
M10,8111023,가곡초등학교보발분교장
M10,8011322,가덕중학교
M10,8011289,가덕초등학교
M10,8111012,가평초등학교
M10,8021046,가흥초등학교
M10,8011324,각리중학교
M10,8011290,각리초등학교
M10,8011291,갈원초등학교
M10,8101006,감곡중학교
M10,8101015,감곡초등학교
M10,8092019,감물초등학교
M10,8011292,강내초등학교
M10,8011164,강서초등학교
M10,8011165,개신초등학교
M10,8011010,경덕중학교
M10,8011211,경덕초등학교
M10,8011166,경산초등학교
M10,8051011,관기초등학교
M10,8000032,광혜원고등학교
M10,8081004,광혜원중학교
M10,8000033,괴산고등학교
M10,8092020,괴산명덕초등학교
M10,8092007,괴산북중학교
M10,8092069,괴산오성중학교
M10,8092008,괴산중학교
M10,8011167,교동초등학교
M10,8071014,구룡초등학교
M10,8081010,구정초등학교
M10,8000308,국원고등학교
M10,8021028,국원초등학교
M10,8061010,군남초등학교
M10,8061011,군서초등학교
M10,8000279,글로벌선진학교
M10,8021048,금가초등학교
M10,8081011,금구초등학교
M10,8031018,금성초등학교
M10,8000038,금천고등학교
M10,8011011,금천중학교
M10,8011168,금천초등학교
M10,8000197,꽃동네학교
M10,8031019,남당초등학교
M10,8011012,남성중학교
M10,8011169,남성초등학교
M10,8101016,남신초등학교
M10,8011294,남이초등학교
M10,8011295,남일초등학교
M10,8031020,남천초등학교
M10,8011213,남평초등학교
M10,8011296,낭성초등학교
M10,8051012,내북초등학교
M10,8011323,내수중학교
M10,8011297,내수초등학교
M10,8031005,내토중학교
M10,8031021,내토초등학교
M10,8021007,노은중학교
M10,8021050,노은초등학교
M10,8011343,다다예술학교
M10,8111006,단성중학교
M10,8000040,단양고등학교
M10,8111045,단양소백산중학교
M10,8111007,단양중학교
M10,8111013,단양초등학교
M10,8021051,단월초등학교
M10,8011348,단재초등학교
M10,8111014,단천초등학교
M10,8021052,달천초등학교
M10,8021082,달천초등학교매현분교장
M10,8111015,대가초등학교
M10,8111016,대강초등학교
M10,8000431,대금고등학교
M10,8011298,대길초등학교
M10,8021053,대미초등학교
M10,8000135,대성여자상업고등학교
M10,8011152,대성여자중학교
M10,8011153,대성중학교
M10,8101007,대소중학교
M10,8101018,대소초등학교
M10,8031006,대제중학교
M10,8011172,덕벌초등학교
M10,8081005,덕산중학교
M10,8011173,덕성초등학교
M10,8021055,덕신초등학교
M10,8092021,도안초등학교
M10,8051013,동광초등학교
M10,8021057,동량초등학교
M10,8031022,동명초등학교
M10,8000530,동성고등학교
M10,8101070,동성중학교
M10,8101069,동성초등학교
M10,8061013,동이초등학교
M10,8061022,동이초등학교우산분교장
M10,8092022,동인초등학교
M10,8011171,동주초등학교
M10,8011299,동화초등학교
M10,8031023,두학초등학교
M10,8011300,만수초등학교
M10,8081012,만승초등학교
M10,8071015,매곡초등학교
M10,8000183,매괴고등학교
M10,8101012,매괴여자중학교
M10,8111008,매포중학교
M10,8111017,매포초등학교
M10,8101020,맹동초등학교
M10,8031024,명지초등학교
M10,8011174,모충초등학교
M10,8000532,목도나루학교
M10,8092023,목도초등학교
M10,8021058,목행초등학교
M10,8101008,무극중학교
M10,8101021,무극초등학교
M10,8092024,문광초등학교
M10,8081013,문백초등학교
M10,8081014,문상초등학교
M10,8011325,문의중학교
M10,8011302,문의초등학교
M10,8011303,문의초등학교도원분교장
M10,8011326,미원중학교
M10,8011304,미원초등학교
M10,8011305,미원초등학교금관분교장
M10,8081015,백곡초등학교
M10,8092025,백봉초등학교
M10,8031007,백운중학교
M10,8031025,백운초등학교
M10,8092026,보광초등학교
M10,8051005,보덕중학교
M10,8000085,보은고등학교
M10,8051046,보은삼산초등학교
M10,8000046,보은여자고등학교
M10,8051006,보은여자중학교
M10,8000192,보은정보고등학교
M10,8051007,보은중학교
M10,8011013,복대중학교
M10,8011175,복대초등학교
M10,8011161,봉덕초등학교
M10,8000212,봉명고등학교
M10,8011014,봉명중학교
M10,8011176,봉명초등학교
M10,8031008,봉양중학교
M10,8031026,봉양초등학교
M10,8011177,봉정초등학교
M10,8071017,부용초등학교
M10,8101022,부윤초등학교
M10,8011306,북이초등학교
M10,8011178,북일초등학교
M10,8011179,분평초등학교
M10,8011301,비봉초등학교
M10,8011307,비상초등학교
M10,8011180,사직초등학교
M10,8011181,사천초등학교
M10,8000213,산남고등학교
