officeCode,schoolCode,schoolName
K10,7801089,가곡고등학교
K10,7872037,가곡중학교
K10,7812050,가산초등학교
K10,7812092,가정중학교
K10,7801090,간동고등학교
K10,7942030,간동중학교
K10,7972013,간성초등학교
K10,7922018,갈래초등학교
K10,7801091,갑천고등학교
K10,7892034,갑천중학교
K10,7892017,갑천초등학교
K10,7832044,강동초등학교
K10,7801092,강릉고등학교
K10,7801093,강릉명륜고등학교
K10,7801094,강릉문성고등학교
K10,7801095,강릉여자고등학교
K10,7801212,강릉오성학교
K10,7801096,강릉정보공업고등학교
K10,7801097,강릉제일고등학교
K10,7801098,강릉제일고등학교부설방송통신고등학교
K10,7801099,강릉중앙고등학교
K10,7832083,강릉중학교
K10,7832093,강릉중학교부설방송통신중학교
K10,7832045,강릉초등학교
K10,7832081,강릉해람중학교
K10,7892035,강림중학교
K10,7892018,강림초등학교
K10,7812093,강서중학교
K10,7801100,강원고등학교
K10,7801101,강원과학고등학교
K10,7004207,강원대학교사범대학부설고등학교
K10,7800304,강원도농업계고등학교공동실습소
K10,7801213,강원명진학교
K10,7801102,강원생명과학고등학교
K10,7801103,강원생활과학고등학교
K10,7801104,강원애니고등학교
K10,7801105,강원예술고등학교
K10,7801232,강원온라인학교
K10,7801106,강원외국어고등학교
K10,7812108,강원중학교
K10,7801107,강원체육고등학교
K10,7812094,강원체육중학교
K10,7801108,강일여자고등학교
K10,7863054,강현중학교
K10,7863026,강현초등학교
K10,7912021,거문초등학교
K10,7972014,거성초등학교
K10,7801109,거진고등학교
K10,7972028,거진중학교
K10,7972015,거진초등학교
K10,7801110,경포고등학교
K10,7832046,경포대초등학교
K10,7832084,경포중학교
K10,7832047,경포초등학교
K10,7912039,계촌중학교
K10,7912022,계촌초등학교
K10,7822079,고산초등학교
K10,7801111,고성고등학교
K10,7972029,고성중학교
K10,7801112,고한고등학교
K10,7922037,고한중학교
K10,7922019,고한초등학교
K10,7892036,공근중학교
K10,7892019,공근초등학교
K10,7800305,공업계고등학교강릉공동실습소
K10,7800306,공업계고등학교춘천공동실습소
K10,7800307,공업계고등학교태백공동실습소
K10,7972016,공현진초등학교
K10,7832085,관동중학교
K10,7822080,관설초등학교
K10,7942016,광덕초등학교
K10,7972017,광산초등학교
K10,7863027,광정초등학교
K10,7812095,광판중학교
K10,7812051,광판초등학교
K10,7832048,교동초등학교
K10,7863028,교동초등학교
K10,7822081,교동초등학교
K10,7812052,교동초등학교
K10,7822082,교학초등학교
K10,7822083,구곡초등학교
K10,7902017,구래초등학교
K10,7882029,구송초등학교
K10,7832049,구정초등학교
K10,7962015,귀둔초등학교
K10,7822129,귀래중학교
K10,7822084,귀래초등학교
K10,7932014,근남초등학교
K10,7872038,근덕중학교
K10,7872019,근덕초등학교
K10,7812053,근화초등학교
K10,7832050,금광초등학교
K10,7822085,금대초등학교
K10,7812054,금병초등학교
K10,7812055,금산초등학교
K10,7801113,기린고등학교
K10,7962030,기린중학교
K10,7962016,기린초등학교
K10,7962028,기린초등학교진동분교장
K10,7801114,김화고등학교
K10,7801115,김화공업고등학교
K10,7932030,김화여자중학교
K10,7932031,김화중학교
K10,7932015,김화초등학교
K10,7922038,나전중학교
K10,7832051,남강초등학교
K10,7812056,남부초등학교
K10,7832052,남산초등학교
K10,7812057,남산초등학교
K10,7882030,남산초등학교
K10,7812090,남산초등학교서천분교장
K10,7922020,남선초등학교
K10,7922034,남선초등학교남창분교장
K10,7863029,남애초등학교
K10,7822130,남원주중학교
K10,7822086,남원주초등학교
K10,7812096,남춘천여자중학교
K10,7812097,남춘천중학교
K10,7812112,남춘천중학교부설방송통신중학교
K10,7812058,남춘천초등학교
K10,7922021,남평초등학교
K10,7842018,남호초등학교
K10,7932016,내대초등학교
K10,7801116,내면고등학교
K10,7882055,내면중학교
K10,7902018,내성초등학교
K10,7882056,내촌중학교
K10,7882031,내촌초등학교
K10,7832053,노암초등학교
K10,7882028,노천초등학교
K10,7902030,녹전중학교
K10,7902019,녹전초등학교
K10,7942017,다목초등학교
K10,7822087,단계초등학교
K10,7822088,단관초등학교
K10,7822131,단구중학교
K10,7822089,단구초등학교
K10,7812059,당림초등학교
K10,7882032,대곡초등학교
K10,7912038,대관령중학교
K10,7912020,대관령초등학교
K10,7892043,대동여자중학교
K10,7812098,대룡중학교
K10,7801117,대성고등학교
K10,7952023,대암중학교
K10,7801118,대진고등학교
K10,7972030,대진중학교
K10,7972018,대진초등학교
K10,7972027,대진초등학교명파분교장
K10,7863030,대포초등학교
K10,7801119,대화고등학교
K10,7912040,대화중학교
K10,7912023,대화초등학교
K10,7801120,도계고등학교
K10,7801121,도계전산정보고등학교
K10,7872039,도계중학교
K10,7872020,도계초등학교
K10,7912024,도성초등학교
K10,7932017,도창초등학교
K10,7952013,도촌초등학교
K10,7972019,도학초등학교
K10,7801122,동광산업과학고등학교
K10,7972031,동광중학교
K10,7972020,동광초등학교
K10,7812060,동내초등학교
K10,7832086,동명중학교
K10,7832054,동명초등학교
K10,7812061,동부초등학교
K10,7812099,동산중학교
K10,7932018,동송초등학교
K10,7852012,동점초등학교
K10,7812062,동춘천초등학교
K10,7801123,동해광희고등학교
K10,7842032,동해광희중학교
K10,7801124,동해삼육고등학교
K10,7842033,동해삼육중학교
K10,7842019,동해삼육초등학교
K10,7801125,동해상업고등학교
K10,7842020,동해중앙초등학교
K10,7842034,동해중학교
K10,7842021,동해초등학교
K10,7801220,동해해솔학교
K10,7842022,동호초등학교
K10,7882057,동화중학교
K10,7822090,동화초등학교
K10,7882058,두촌중학교
K10,7882033,두촌초등학교
K10,7801126,둔내고등학교
K10,7892037,둔내중학교
K10,7892020,둔내초등학교
K10,7822091,둔둔초등학교
K10,7801127,마차고등학교
K10,7902031,마차중학교
K10,7902020,마차초등학교
K10,7822092,만대초등학교
K10,7822093,만종초등학교
K10,7812063,만천초등학교
K10,7842023,망상초등학교
K10,7882034,매산초등학교
K10,7822094,매지초등학교
K10,7872021,맹방초등학교
K10,7912025,면온초등학교
K10,7882035,명덕초등학교
K10,7822095,명륜초등학교
K10,7832055,명주초등학교
K10,7882036,모곡초등학교
K10,7832056,모산초등학교
K10,7932019,묘장초등학교
K10,7902021,무릉초등학교
K10,7822096,무실초등학교
K10,7801128,묵호고등학교
K10,7801129,묵호고등학교부설방송통신고등학교
K10,7842035,묵호중학교
K10,7842024,묵호초등학교
K10,7922045,문곡중학교
K10,7801130,문막고등학교
K10,7822132,문막중학교
K10,7822097,문막초등학교
K10,7932020,문혜초등학교
K10,7852013,미동초등학교
K10,7801131,미래고등학교
K10,7872040,미로중학교
K10,7872022,미로초등학교
K10,7912041,미탄중학교
K10,7912026,미탄초등학교
K10,7801132,민족사관고등학교
K10,7822098,반계초등학교
K10,7822133,반곡중학교
K10,7882037,반곡초등학교
K10,7822099,반곡초등학교
K10,7912027,방림초등학교
K10,7952024,방산중학교
K10,7952014,방산초등학교
K10,7922022,백전초등학교
K10,7822128,버들중학교
K10,7822077,버들초등학교
K10,7922023,벽탄초등학교
K10,7812100,봄내중학교
K10,7812064,봄내초등학교
K10,7801219,봉대가온학교
K10,7822100,봉대초등학교
K10,7902032,봉래중학교
K10,7902022,봉래초등학교
K10,7922024,봉양초등학교
K10,7801133,봉의고등학교
K10,7812110,봉의중학교
K10,7812065,봉의초등학교
K10,7801134,봉평고등학교
K10,7912042,봉평중학교
K10,7912028,봉평초등학교
K10,7822134,부론중학교
K10,7822101,부론초등학교
K10,7812066,부안초등학교
K10,7962017,부평초등학교
K10,7842025,북삼초등학교
K10,7801135,북원여자고등학교
K10,7822135,북원중학교
K10,7822102,북원초등학교
K10,7801136,북평고등학교
K10,7801137,북평여자고등학교
K10,7842036,북평중학교
K10,7842026,북평초등학교
K10,7922025,북평초등학교
K10,7822103,비두초등학교
K10,7952015,비봉초등학교
K10,7801138,사내고등학교
K10,7942031,사내중학교
K10,7942019,사내초등학교
K10,7801139,사북고등학교
K10,7922039,사북중학교
K10,7922026,사북초등학교
K10,7832087,사천중학교
K10,7832057,사천초등학교
K10,7942020,산양초등학교
K10,7822104,산현초등학교
K10,7882038,삼생초등학교
K10,7852014,삼성초등학교
K10,7801140,삼일고등학교
K10,7872046,삼일중학교
K10,7801141,삼척고등학교
K10,7872023,삼척남초등학교
K10,7801142,삼척여자고등학교
K10,7872024,삼척중앙초등학교
K10,7872041,삼척중학교
K10,7872025,삼척초등학교
K10,7882039,삼포초등학교
K10,7842027,삼화초등학교
K10,7962031,상남중학교
K10,7962018,상남초등학교
K10,7801143,상동고등학교
K10,7902033,상동중학교
K10,7942032,상서중학교
K10,7942021,상승초등학교
K10,7942037,상승초등학교봉오분교장
K10,7852024,상장중학교
K10,7852015,상장초등학교
K10,7801144,상지대관령고등학교
K10,7801145,상지여자고등학교
K10,7822136,상지여자중학교
K10,7812067,상천초등학교
K10,7863031,상평초등학교
K10,7863051,상평초등학교공수전분교장
K10,7863052,상평초등학교오색분교장
K10,7863053,상평초등학교현서분교장
K10,7822105,샘마루초등학교
K10,7822106,서곡초등학교
K10,7932021,서면초등학교
K10,7872026,서부초등학교
K10,7812068,서상초등학교
K10,7801146,서석고등학교
K10,7882059,서석중학교
K10,7882040,서석초등학교
K10,7882053,서석초등학교청량분교장
K10,7822107,서원주초등학교
K10,7892038,서원중학교
K10,7892021,서원초등학교
K10,7962032,서화중학교
K10,7962019,서화초등학교
K10,7812069,석사초등학교
K10,7801147,석정여자고등학교
K10,7902039,석정여자중학교
K10,7952025,석천중학교
K10,7882041,석화초등학교
K10,7801148,설악고등학교
K10,7801149,설악고등학교부설방송통신고등학교
K10,7863055,설악중학교
K10,7863032,설악초등학교
K10,7863056,설온중학교
K10,7801233,섬강고등학교
K10,7822137,섬강중학교
K10,7822078,섬강초등학교
K10,7892022,성남초등학교
K10,7832058,성덕초등학교
K10,7812070,성림초등학교
K10,7892023,성북초등학교
K10,7832059,성산초등학교
K10,7801150,성수고등학교
K10,7801151,성수여자고등학교
K10,7812071,성원초등학교
K10,7852025,세연중학교
K10,7863033,소야초등학교
K10,7812101,소양중학교
K10,7812072,소양초등학교
K10,7822108,소초초등학교
K10,7912029,속사초등학교
K10,7801152,속초고등학교
K10,7801153,속초여자고등학교
K10,7863057,속초중학교
K10,7801214,속초청해학교
K10,7863034,속초초등학교
K10,7882042,속초초등학교
K10,7863058,속초해랑중학교
K10,7863035,손양초등학교
K10,7822109,솔샘초등학교
K10,7832088,솔올중학교
K10,7832060,송양초등학교
K10,7842028,송정초등학교
K10,7863036,송포초등학교
K10,7812073,송화초등학교
K10,7892024,수백초등학교
K10,7832094,숲실초등학교
K10,7801154,신남고등학교
K10,7962033,신남중학교
K10,7812074,신남초등학교
K10,7872027,신동초등학교
K10,7812075,신동초등학교
K10,7912030,신리초등학교
K10,7822138,신림중학교
K10,7822110,신림초등학교
K10,7832061,신영초등학교
K10,7832062,신왕초등학교
K10,7902023,신천초등학교
K10,7801155,신철원고등학교
K10,7932032,신철원중학교
K10,7932022,신철원초등학교
K10,7822111,신평초등학교
K10,7812102,신포중학교
K10,7942022,실내초등학교
K10,7902034,쌍룡중학교
K10,7902024,쌍룡초등학교
K10,7972021,아야진초등학교
K10,7912031,안미초등학교
K10,7801156,안흥고등학교
K10,7892039,안흥중학교
