officeCode,schoolCode,schoolName
F10,7391134,각화중학교
F10,7391093,각화초등학교
F10,7391240,건국초등학교
F10,7391089,경양초등학교
F10,7401189,계수초등학교
F10,7380041,고려고등학교
F10,7391148,고려중학교
F10,7401459,고실중학교
F10,7401206,고실초등학교
F10,7380042,광덕고등학교
F10,7401252,광덕중학교
F10,7401362,광림초등학교
F10,7401223,광산중학교
F10,7380047,광일고등학교
F10,7380048,광주경신여자고등학교
F10,7391152,광주경신중학교
F10,7391070,광주계림초등학교
F10,7380030,광주고등학교
F10,7380098,광주고등학교부설방송통신고등학교
F10,7380146,광주공업고등학교
F10,7380031,광주과학고등학교
F10,7401132,광주광천초등학교
F10,7006149,광주교육대학교광주부설초등학교
F10,7401126,광주극락초등학교
F10,7391073,광주남초등학교
F10,7401133,광주농성초등학교
F10,7380049,광주대동고등학교
F10,7401123,광주대성초등학교
F10,7401232,광주동명중학교
F10,7391077,광주동산초등학교
F10,7380127,광주동성고등학교
F10,7401445,광주동성여자중학교
F10,7401444,광주동성중학교
F10,7380050,광주동신고등학교
F10,7380051,광주동신여자고등학교
F10,7391151,광주동신여자중학교
F10,7391146,광주동신중학교
F10,7391084,광주동운초등학교
F10,7391074,광주동초등학교
F10,7390098,광주동초등학교충효분교장
F10,7401212,광주무진중학교
F10,7391081,광주문화초등학교
F10,7401129,광주방림초등학교
F10,7401128,광주백운초등학교
F10,7401135,광주봉주초등학교
F10,7391123,광주북성중학교
F10,7391237,광주북성중학교부설방송통신중학교
F10,7391250,광주북초등학교
F10,7391080,광주산수초등학교
F10,7401211,광주삼육초등학교
F10,7401131,광주상무초등학교
F10,7401215,광주서광중학교
F10,7391071,광주서림초등학교
F10,7391076,광주서산초등학교
F10,7380053,광주서석고등학교
F10,7401254,광주서석중학교
F10,7391067,광주서석초등학교
F10,7401136,광주서초등학교
F10,7380054,광주석산고등학교
F10,7380107,광주선광학교
F10,7380108,광주선명학교
F10,7380271,광주선우학교
F10,7380110,광주세광학교
F10,7380292,광주소프트웨어마이스터고등학교
F10,7401251,광주송원중학교
F10,7401210,광주송원초등학교
F10,7391068,광주수창초등학교
F10,7380055,광주수피아여자고등학교
F10,7401464,광주수피아여자중학교
F10,7380056,광주숭일고등학교
F10,7391145,광주숭일중학교
F10,7401125,광주양동초등학교
F10,7391078,광주양산초등학교
F10,7380032,광주여자고등학교
F10,7380091,광주여자상업고등학교
F10,7380033,광주예술고등학교
F10,7391274,광주예술중학교
F10,7380188,광주외국인학교
F10,7391085,광주용봉초등학교
F10,7391092,광주용산초등학교
F10,7391088,광주우산초등학교
F10,7391087,광주운암초등학교
F10,7401130,광주월산초등학교
F10,7380057,광주인성고등학교
F10,7380353,광주자동화설비마이스터고등학교
F10,7380128,광주자연과학고등학교
F10,7391082,광주장원초등학교
F10,7380083,광주전자공업고등학교
F10,7401142,광주제석초등학교
F10,7380034,광주제일고등학교
F10,7391069,광주중앙초등학교
F10,7401218,광주중학교
F10,7391079,광주중흥초등학교
F10,7391075,광주지산초등학교
F10,7380059,광주진흥고등학교
F10,7401463,광주진흥중학교
F10,7380035,광주체육고등학교
F10,7391132,광주체육중학교
F10,7391124,광주충장중학교
F10,7380291,광주푸른꿈창작학교
F10,7391086,광주풍향초등학교
F10,7401124,광주학강초등학교
F10,7391083,광주학운초등학교
F10,7401217,광주화정중학교
F10,7401134,광주화정초등학교
F10,7401216,광주효광중학교
F10,7401127,광주효덕초등학교
F10,7391072,광주효동초등학교
F10,7380060,국제고등학교
F10,7401234,금구중학교
F10,7401183,금구초등학교
F10,7401221,금당중학교
F10,7401181,금당초등학교
F10,7401164,금부초등학교
F10,7380094,금파공업고등학교
F10,7380061,금호고등학교
F10,7380259,금호미용예술학교
F10,7380278,금호중앙여자고등학교
F10,7391248,금호중앙중학교
F10,7401229,금호중학교
F10,7401148,금호초등학교
F10,7380062,대광여자고등학교
F10,7401191,대반초등학교
F10,7380063,대성여자고등학교
F10,7401257,대성여자중학교
F10,7401363,대자중학교
F10,7391095,대자초등학교
F10,7401168,대촌중앙초등학교
F10,7401224,대촌중학교
F10,7401202,도산초등학교
F10,7380187,돈보스코학교
F10,7401162,동곡초등학교
F10,7391107,동림초등학교
F10,7380131,동명고등학교
F10,7380064,동아여자고등학교
F10,7401258,동아여자중학교
F10,7380290,동일미래과학고등학교
F10,7391133,두암중학교
F10,7391090,두암초등학교
F10,7401182,마재초등학교
F10,7401185,마지초등학교
F10,7401200,만호초등학교
F10,7391103,매곡초등학교
F10,7380273,명진고등학교
F10,7401169,목련초등학교
F10,7391125,무등중학교
F10,7391091,무등초등학교
F10,7401170,무학초등학교
F10,7391136,문산중학교
F10,7391101,문산초등학교
F10,7380065,문성고등학교
F10,7401253,문성중학교
F10,7391113,문우초등학교
F10,7380180,문정여자고등학교
F10,7391104,문정초등학교
F10,7391131,문화중학교
F10,7391099,문흥중앙초등학교
F10,7391135,문흥중학교
F10,7391096,문흥초등학교
F10,7401177,미산초등학교
F10,7380148,보문고등학교
F10,7401167,본량초등학교
F10,7391114,본촌초등학교
F10,7401241,봉산중학교
F10,7401194,봉산초등학교
F10,7401213,봉선중학교
F10,7401138,봉선초등학교
F10,7401199,불로초등학교
F10,7380326,비아고등학교
F10,7401262,비아중학교
F10,7401155,비아초등학교
F10,7380196,빛고을고등학교
F10,7380352,빛고을온학교
F10,7401361,빛고을초등학교
F10,7401453,빛여울초등학교
F10,7401156,산월초등학교
F10,7401249,산정중학교
F10,7401209,산정초등학교
F10,7380067,살레시오고등학교
F10,7380068,살레시오여자고등학교
F10,7391154,살레시오여자중학교
F10,7391153,살레시오중학교
F10,7401398,살레시오초등학교
F10,7391106,삼각초등학교
F10,7401165,삼도초등학교
F10,7391098,삼정초등학교
F10,7380132,상무고등학교
F10,7401214,상무중학교
F10,7380177,상일여자고등학교
F10,7401226,상일중학교
F10,7380258,새날학교
F10,7401402,새별초등학교
F10,7380069,서강고등학교
F10,7391147,서강중학교
F10,7401140,서광초등학교
F10,7391108,서일초등학교
F10,7380149,서진여자고등학교
F10,7380357,선예학교
F10,7401388,선운중학교
F10,7401366,선운초등학교
F10,7401198,선창초등학교
F10,7380073,설월여자고등학교
F10,7380260,성덕고등학교
F10,7401247,성덕중학교
F10,7401344,성덕초등학교
F10,7401447,성진초등학교
F10,7401238,송광중학교
F10,7401154,송우초등학교
F10,7380070,송원고등학교
F10,7380071,송원여자고등학교
F10,7380158,송원여자상업고등학교
F10,7401150,송정동초등학교
F10,7401151,송정서초등학교
F10,7401152,송정중앙초등학교
F10,7401222,송정중학교
F10,7401153,송정초등학교
F10,7401171,송학초등학교
F10,7401201,수문초등학교
F10,7380182,수완고등학교
F10,7401248,수완중학교
F10,7401204,수완초등학교
F10,7401426,수완하나중학교
F10,7380072,숭덕고등학교
F10,7380321,숭의과학기술고등학교
F10,7401250,숭의중학교
F10,7401240,신가중학교
F10,7401176,신가초등학교
F10,7391130,신광중학교
F10,7401186,신암초등학교
F10,7391241,신용중학교
F10,7391198,신용초등학교
F10,7401243,신창중학교
F10,7401197,신창초등학교
F10,7391137,양산중학교
F10,7391116,양지초등학교
F10,7401160,어등초등학교
F10,7401193,어룡초등학교
F10,7391115,연제초등학교
F10,7401139,염주초등학교
F10,7401239,영천중학교
F10,7401195,영천초등학교
F10,7391102,오정초등학교
F10,7391097,오치초등학교
F10,7391143,용두중학교
F10,7391109,용두초등학교
F10,7391129,용봉중학교
F10,7380186,용연학교
F10,7391111,용주초등학교
F10,7391128,우산중학교
F10,7380147,운남고등학교
F10,7401231,운남중학교
F10,7401174,운남초등학교
F10,7401242,운리중학교
F10,7401190,운리초등학교
F10,7391126,운림중학교
F10,7391127,운암중학교
F10,7401175,운천초등학교
F10,7401230,월계중학교
F10,7401172,월계초등학교
F10,7401228,월곡중학교
F10,7401159,월곡초등학교
F10,7401416,월광기독학교
F10,7401245,월봉중학교
F10,7401196,월봉초등학교
F10,7401244,유덕중학교
F10,7401179,유덕초등학교
F10,7401144,유안초등학교
F10,7401178,유촌초등학교
F10,7391100,율곡초등학교
F10,7401387,은빛초등학교
F10,7380112,은혜학교
F10,7391138,일곡중학교
F10,7391105,일곡초등학교
F10,7391139,일동중학교
F10,7391110,일동초등학교
F10,7391141,일신중학교
F10,7391112,일신초등학교
F10,7401261,임곡중학교
F10,7401161,임곡초등학교
F10,7380181,장덕고등학교
F10,7401342,장덕중학교
F10,7401207,장덕초등학교
F10,7401141,장산초등학교
F10,7380037,전남고등학교
F10,7380086,전남공업고등학교
F10,7380029,전남대학교사범대학부설고등학교
F10,7391122,전남대학교사범대학부설중학교
F10,7380039,전남여자고등학교
F10,7380101,전남여자고등학교부설방송통신고등학교
F10,7380097,전남여자상업고등학교
F10,7401236,전남중학교
F10,7380075,정광고등학교
F10,7401260,정광중학교
F10,7401173,정암초등학교
F10,7401149,조봉초등학교
F10,7380076,조선대학교부속고등학교
F10,7391144,조선대학교부속중학교
F10,7380077,조선대학교여자고등학교
F10,7391150,조선대학교여자중학교
F10,7401220,주월중학교
F10,7401137,주월초등학교
F10,7391140,지산중학교
F10,7391264,지한초등학교
F10,7401246,진남중학교
F10,7401203,진남초등학교
F10,7401187,진만초등학교
F10,7401147,진월초등학교
F10,7401205,진제초등학교
F10,7401235,천곡중학교
F10,7380153,첨단고등학교
F10,7401237,첨단중학교
F10,7401192,첨단초등학교
F10,7401219,치평중학교
F10,7401184,치평초등학교
F10,7401208,큰별초등학교
F10,7391094,태봉초등학교
F10,7401225,평동중학교
F10,7401163,평동초등학교
F10,7380145,풍암고등학교
F10,7401233,풍암중학교
F10,7401166,풍암초등학교
F10,7401188,풍영초등학교
F10,7401158,하남중앙초등학교
F10,7401227,하남중학교
F10,7401157,하남초등학교
F10,7391119,하백초등학교
F10,7391120,한울초등학교
F10,7380078,호남삼육고등학교
F10,7401446,호남삼육중학교
F10,7401180,화개초등학교
F10,7401146,화정남초등학교
F10,7401143,효광초등학교
F10,7401435,효천중학교
F10,7401399,효천초등학교
