officeCode,schoolCode,schoolName
S10,9022379,가고파초등학교
S10,9151134,가남초등학교
S10,9051007,가람초등학교
S10,9121004,가례초등학교
S10,9211004,가북초등학교
S10,9091062,가야중학교
S10,9131005,가야초등학교
S10,9151139,가양초등학교
S10,9211021,가조중학교
S10,9211005,가조초등학교
S10,9051008,가좌초등학교
S10,9151149,가촌초등학교
S10,9022012,가포초등학교
S10,9221030,가회중학교
S10,9221006,가회초등학교
S10,9010438,간디고등학교
S10,9181005,갈육초등학교
S10,9051133,갈전초등학교
S10,9022442,감계중학교
S10,9022443,감계초등학교
S10,9022013,감천초등학교
S10,9051048,개양중학교
S10,9151048,개운중학교
S10,9161004,개천초등학교
S10,9161005,거류초등학교
S10,9010079,거제고등학교
S10,9111043,거제고현중학교
S10,9111006,거제고현초등학교
S10,9010123,거제공업고등학교
S10,9010532,거제국제외국인학교
S10,9111126,거제상동초등학교
S10,9010480,거제상문고등학교
S10,9010202,거제애광학교
S10,9111132,거제양정초등학교
S10,9010479,거제여자상업고등학교
S10,9010323,거제옥포고등학교
S10,9111146,거제용산초등학교
S10,9111140,거제용소초등학교
S10,9111117,거제장평중학교
S10,9010275,거제제일고등학교
S10,9111044,거제제일중학교
S10,9010031,거제중앙고등학교
S10,9111045,거제중앙중학교
S10,9111007,거제중앙초등학교
S10,9111056,거제중학교
S10,9111008,거제초등학교
S10,9010080,거창고등학교
S10,9010572,거창나래학교
S10,9010081,거창대성고등학교
S10,9211029,거창대성중학교
S10,9211051,거창덕유중학교
S10,9010690,거창승강기고등학교
S10,9010032,거창여자고등학교
S10,9211022,거창여자중학교
S10,9010659,거창연극고등학교
S10,9010240,거창중앙고등학교
S10,9211023,거창중학교
S10,9211024,거창중학교고제분교장
S10,9211006,거창초등학교
S10,9010437,경남간호고등학교
S10,9010539,경남고성음악고등학교
S10,9010033,경남과학고등학교
S10,9010334,경남관광고등학교
S10,9010533,경남꿈키움중학교
S10,9010505,경남로봇고등학교
S10,9010332,경남산업고등학교
S10,9010082,경남예술고등학교
S10,9010700,경남온라인학교
S10,9010083,경남외국어고등학교
S10,9010335,경남자동차고등학교
S10,9010128,경남자영고등학교
S10,9010194,경남전자고등학교
S10,9010234,경남정보고등학교
S10,9010034,경남체육고등학교
S10,9010129,경남항공고등학교
S10,9010301,경남해양과학고등학교
S10,9010200,경남혜림학교
S10,9010084,경상고등학교
S10,C020714,경상국립대학교사범대학부설고등학교
S10,C020715,경상국립대학교사범대학부설중학교
S10,9091087,경운중학교
S10,9091006,경운초등학교
S10,9022115,경원중학교
S10,9022419,경원중학교부설방송통신중학교
S10,9010280,경진고등학교
S10,9010085,경해여자고등학교
S10,9051049,경해여자중학교
S10,9022014,경화초등학교
S10,9091007,계동초등학교
S10,9111046,계룡중학교
S10,9111009,계룡초등학교
S10,9141007,계창초등학교
S10,9010160,고성고등학교
S10,9161024,고성동중학교
S10,9161025,고성여자중학교
S10,9010276,고성중앙고등학교
S10,9161026,고성중학교
S10,9161006,고성초등학교
S10,9141008,고암초등학교
S10,9181007,고전초등학교
S10,9211007,고제초등학교
S10,9171005,고현초등학교
S10,9081035,곤명중학교
S10,9081068,곤명초등학교
S10,9010037,곤양고등학교
S10,9081030,곤양중학교
S10,9081008,곤양초등학교
S10,9010388,공군항공과학고등학교
S10,9091063,관동중학교
S10,9091201,관동초등학교
S10,9051009,관봉초등학교
S10,9071005,광도초등학교
S10,9022116,광려중학교
S10,9022015,광려초등학교
S10,9022016,교동초등학교
S10,9022017,교방초등학교
S10,9161007,구만초등학교
S10,9091008,구봉초등학교
S10,9010516,구산고등학교
S10,9091064,구산중학교
S10,9022466,구산중학교
S10,9022469,구산중학교구남분교장
S10,9091009,구산초등학교
S10,9022018,구산초등학교
S10,9022019,구산초등학교구서분교장
S10,9022120,구암중학교
S10,9022020,구암초등학교
S10,9111010,국산초등학교
S10,9010086,군북고등학교
S10,9131028,군북중학교
S10,9131007,군북초등학교
S10,9181008,궁항초등학교
S10,9051050,금곡중학교
S10,9051010,금곡초등학교
S10,9010038,금남고등학교
S10,9181024,금남중학교
S10,9091010,금동초등학교
S10,9201005,금반초등학교
S10,9091011,금산초등학교
S10,9051011,금산초등학교
S10,9191006,금서초등학교
S10,9051012,금성초등학교
S10,       ,금송중학교
S10,       ,금송초등학교
S10,9151151,금오중학교
S10,9151150,금오초등학교
S10,9051013,금호초등학교
S10,9111011,기성초등학교
S10,9141009,길곡초등학교
S10,9010039,김해가야고등학교
S10,9091199,김해가야초등학교
S10,9010130,김해건설공업고등학교
S10,9010040,김해경원고등학교
S10,9010041,김해고등학교
S10,9091012,김해구지초등학교
S10,9010696,김해금곡고등학교
S10,9091013,김해내동초등학교
S10,9091065,김해대곡중학교
S10,9091014,김해대곡초등학교
S10,9091066,김해대동중학교
S10,9010282,김해대청고등학교
S10,9091015,김해동광초등학교
S10,9091226,김해모산중학교
S10,9091220,김해모산초등학교
S10,9091016,김해봉황초등학교
S10,9091017,김해부곡초등학교
S10,9010281,김해분성고등학교
S10,9010294,김해분성여자고등학교
S10,9091067,김해삼계중학교
S10,9010295,김해삼문고등학교
S10,9010346,김해삼방고등학교
S10,9091018,김해삼성초등학교
S10,9010327,김해생명과학고등학교
S10,9091068,김해서중학교
S10,9010537,김해수남고등학교
S10,9091019,김해신명초등학교
S10,9091020,김해신안초등학교
S10,9010042,김해여자고등학교
S10,9091069,김해여자중학교
S10,9010321,김해영운고등학교
S10,9010322,김해외국어고등학교
S10,9091021,김해외동초등학교
S10,9091225,김해율산초등학교
S10,9010431,김해율하고등학교
S10,9010536,김해은혜학교
S10,9010462,김해임호고등학교
S10,9010430,김해제일고등학교
S10,9010087,김해중앙여자고등학교
S10,9091088,김해중앙여자중학교
S10,9091070,김해중학교
S10,9010241,김해한일여자고등학교
S10,9091022,김해합성초등학교
S10,9091023,김해활천초등학교
S10,9171045,꽃내중학교
S10,9121006,낙서초등학교
S10,9051014,남강초등학교
S10,9171006,남명초등학교
S10,9022121,남산중학교
S10,9121007,남산초등학교
S10,9121043,남산초등학교궁류분교장
S10,9211008,남상초등학교
S10,9081036,남양중학교
S10,9081009,남양초등학교
S10,9022021,남양초등학교
S10,9022022,남정초등학교
S10,9221059,남정초등학교
S10,9010088,남지고등학교
S10,9141028,남지여자중학교
S10,9141029,남지중학교
S10,9141010,남지초등학교
S10,9071006,남포초등학교
S10,9211009,남하초등학교
S10,9010089,남해고등학교
S10,9010672,남해보물섬고등학교
S10,9171021,남해여자중학교
S10,9010132,남해정보산업고등학교
S10,9010229,남해제일고등학교
S10,9171022,남해중학교
