officeCode,schoolCode,schoolName
E10,7310207,가림고등학교
E10,7310035,가정고등학교
E10,7361075,가정여자중학교
E10,7310217,가좌고등학교
E10,7361077,가좌중학교
E10,7341066,간석여자중학교
E10,7361078,간재울중학교
E10,7331053,갈산중학교
E10,7351006,갑룡초등학교
E10,7310346,강남영상미디어고등학교
E10,7351029,강남중학교
E10,7351030,강서중학교
E10,7310036,강화고등학교
E10,7310201,강화여자고등학교
E10,7351031,강화여자중학교
E10,7351032,강화중학교
E10,7351007,강화초등학교
E10,7310203,검단고등학교
E10,7361079,검단중학교
E10,7361080,검암중학교
E10,7004258,경인교육대학교부설초등학교
E10,7310037,계산고등학교
E10,7310090,계산공업고등학교
E10,7310038,계산여자고등학교
E10,7331211,계산여자중학교
E10,7331212,계산중학교
E10,7310039,계양고등학교
E10,7331213,계양중학교
E10,7321069,관교여자중학교
E10,7321070,관교중학교
E10,7310067,광성고등학교
E10,7321091,광성중학교
E10,7310189,교동고등학교
E10,7351033,교동중학교
E10,7351008,교동초등학교
E10,7331054,구산중학교
E10,7341067,구월여자중학교
E10,7341279,구월여자중학교부설방송통신중학교
E10,7341068,구월중학교
E10,7351009,길상초등학교
E10,7341069,남동중학교
E10,7321071,남인천여자중학교
E10,7351011,내가초등학교
E10,7341070,논곡중학교
E10,7341071,능허대중학교
E10,7351012,대월초등학교
E10,7310069,대인고등학교
E10,7310041,대청고등학교
E10,7321072,대청중학교
E10,7321012,대청초등학교
E10,7321057,대청초등학교소청분교장
E10,7310070,덕신고등학교
E10,7310042,덕적고등학교
E10,7321073,덕적중학교
E10,7321013,덕적초등학교
E10,7310220,도림고등학교
E10,7351037,동광중학교
E10,7310071,동산고등학교
E10,7321092,동산중학교
E10,7331055,동암중학교
E10,7310043,동인천고등학교
E10,7361084,동인천여자중학교
E10,7341072,동인천중학교
E10,7361074,마전중학교
E10,7341073,만성중학교
E10,7341074,만수북중학교
E10,7341075,만수여자중학교
E10,7341076,만수중학교
E10,7341077,만월중학교
E10,7310072,명신여자고등학교
E10,7351013,명신초등학교
E10,7331214,명현중학교
E10,7310626,문곡고등학교
E10,7310073,문일여자고등학교
E10,7310192,문학정보고등학교
E10,       ,미단초등학교(개교예정)
E10,7310350,미추홀외국어고등학교
E10,7310338,미추홀학교
E10,7310427,박문여자고등학교
E10,7341256,박문중학교
E10,7310403,백령고등학교
E10,7321074,백령중학교
E10,7321014,백령초등학교
E10,7310044,백석고등학교
E10,7361087,백석중학교
E10,7310219,부개고등학교
E10,7310045,부개여자고등학교
E10,7310046,부광고등학교
E10,7310047,부광여자고등학교
E10,7331056,부광중학교
E10,7331057,부원여자중학교
E10,7331058,부원중학교
E10,7331060,부일중학교
E10,7310048,부평고등학교
E10,7310093,부평공업고등학교
E10,7331061,부평동중학교
E10,7331062,부평서여자중학교
E10,7331063,부평서중학교
E10,7310049,부평여자고등학교
E10,7331064,부평여자중학교
E10,7331065,부평중학교
E10,7331066,부흥중학교
E10,7331215,북인천여자중학교
E10,7331216,북인천중학교
E10,7321015,북포초등학교
E10,7361090,불로중학교
E10,7351014,불은초등학교
E10,7331067,산곡남중학교
E10,7331068,산곡여자중학교
E10,7331069,산곡중학교
E10,7310212,산마을고등학교
E10,7310190,삼산고등학교
E10,7331070,삼산중학교
E10,7351015,삼산초등학교
E10,7351016,삼성초등학교
E10,7341078,상인천여자중학교
E10,7341079,상인천중학교
E10,7341012,상인천초등학교
E10,7361091,서곶중학교
E10,7310050,서도고등학교
E10,7351034,서도중학교
E10,7351017,서도초등학교
E10,7310204,서운고등학교
E10,7331217,서운중학교
E10,7310075,서인천고등학교
E10,7310051,석정여자고등학교
E10,7341080,석정중학교
E10,7351019,선원초등학교
E10,7310052,선인고등학교
E10,7321075,선인중학교
E10,7341081,선학중학교
E10,7321076,선화여자중학교
E10,7310077,세일고등학교
E10,7310078,송도고등학교
E10,7321094,송도중학교
E10,7351020,송해초등학교
E10,7310079,숭덕여자고등학교
E10,7341100,숭덕여자중학교
E10,7351069,승영중학교
E10,7310080,신명여자고등학교
E10,7310250,신송고등학교
E10,7341082,신송중학교
E10,7361093,신현여자중학교
E10,7361094,신현중학교
E10,7321077,신흥여자중학교
E10,7321078,신흥중학교
E10,7351036,심도중학교
E10,7310214,안남고등학교
E10,7351021,양도초등학교
E10,7351022,양사초등학교
E10,7341083,연성중학교
E10,7310053,연수고등학교
E10,7310054,연수여자고등학교
E10,7341084,연수중학교
E10,7310055,연평고등학교
E10,7321079,연평중학교
E10,7321016,연평초등학교
E10,7341085,연화중학교
E10,7310261,영종국제물류고등학교
E10,7321080,영종중학교
E10,7310560,영화국제관광고등학교
E10,7321066,영화초등학교
E10,7321081,영흥중학교
E10,7321017,영흥초등학교
E10,7310216,옥련여자고등학교
E10,7341086,옥련중학교
E10,7321082,용유중학교
E10,7321083,용현여자중학교
E10,7321084,용현중학교
E10,7361095,원당중학교
E10,7310082,인명여자고등학교
E10,7310083,인성여자고등학교
E10,7321095,인성여자중학교
E10,7321068,인성초등학교
E10,7341087,인송중학교
E10,7310056,인일여자고등학교
E10,7310084,인제고등학교
E10,7321085,인주중학교
E10,7361016,인천가림초등학교
E10,7361020,인천가석초등학교
E10,7361296,인천가원초등학교
E10,7361021,인천가정초등학교
E10,7361076,인천가좌여자중학교
E10,7361022,인천가좌초등학교
E10,7361103,인천가현중학교
E10,7361023,인천가현초등학교
E10,7341013,인천간석초등학교
E10,7361062,인천간재울초등학교
E10,7331011,인천갈산초등학교
E10,7331012,인천갈월초등학교
E10,7331013,인천개흥초등학교
E10,7361024,인천건지초등학교
E10,7361025,인천검단초등학교
E10,7361026,인천검암초등학교
E10,7361252,인천경명초등학교
E10,7361012,인천경서초등학교
E10,7361310,인천경연중학교
E10,7361309,인천경연초등학교
E10,7321018,인천경원초등학교
E10,7331185,인천계산초등학교
E10,7331218,인천계수중학교
E10,7331186,인천계양초등학교
E10,7331247,인천계양초등학교상야분교장
E10,7310057,인천고등학교
E10,7310348,인천고잔고등학교
E10,7341088,인천고잔중학교
E10,7341014,인천고잔초등학교
E10,7361249,인천공촌초등학교
E10,7310205,인천공항고등학교
E10,7321086,인천공항중학교
E10,7321019,인천공항초등학교
E10,7321059,인천공항초등학교신도분교장
E10,7310058,인천과학고등학교
E10,7310449,인천과학예술영재학교
E10,7321020,인천관교초등학교
E10,7331014,인천구산초등학교
E10,7341015,인천구월서초등학교
E10,7341016,인천구월초등학교
E10,7310334,인천국제고등학교
E10,7331015,인천굴포초등학교
E10,7331188,인천귤현초등학교
E10,7361029,인천금곡초등학교
E10,7331016,인천금마초등학교
E10,7310475,인천금융고등학교
E10,7310100,인천기계공업고등학교
E10,7331189,인천길주초등학교
E10,7310059,인천남고등학교
E10,7310339,인천남동고등학교
E10,7341017,인천남동초등학교
E10,7321021,인천남부초등학교
E10,7321060,인천남부초등학교이작분교장
E10,7321087,인천남중학교
E10,7341018,인천남촌초등학교
E10,7341019,인천논곡초등학교
E10,7310256,인천논현고등학교
E10,7341089,인천논현중학교
E10,7341020,인천논현초등학교
E10,7361070,인천능내초등학교
E10,7341021,인천능허대초등학교
E10,7361031,인천단봉초등학교
E10,7341022,인천담방초등학교
E10,7331190,인천당산초등학교
E10,7361101,인천당하중학교
E10,7361032,인천당하초등학교
E10,7310068,인천대건고등학교
E10,7331017,인천대정초등학교
E10,7310563,인천대중예술고등학교
E10,7321022,인천대화초등학교
E10,7361291,인천도담초등학교
E10,7341023,인천도림초등학교
E10,7321023,인천도화초등학교
E10,7341024,인천동막초등학교
E10,7321067,인천동명초등학교
E10,7341090,인천동방중학교
E10,7341025,인천동방초등학교
E10,7341026,인천동부초등학교
E10,7331246,인천동수중학교
E10,7331018,인천동수초등학교
E10,7331019,인천동암초등학교
E10,7331219,인천동양중학교
E10,7341027,인천동춘초등학교
E10,7310191,인천디자인고등학교
E10,7361329,인천루원중학교
E10,7331020,인천마곡초등학교
E10,7331021,인천마장초등학교
E10,7310452,인천마전고등학교
E10,7361064,인천마전초등학교
E10,7321024,인천만석초등학교
E10,7310332,인천만수고등학교
E10,7341028,인천만수북초등학교
E10,7341029,인천만수초등학교
E10,7341030,인천만월초등학교
E10,7341031,인천먼우금초등학교
E10,7341234,인천명선초등학교
E10,7331191,인천명현초등학교
E10,7361065,인천목향초등학교
E10,7341032,인천문남초등학교
E10,7321025,인천문학초등학교
E10,7310480,인천미래생활고등학교
E10,7331022,인천미산초등학교
E10,7341310,인천미송중학교
E10,7341291,인천미송초등학교
E10,7310593,인천바이오과학고등학교
E10,7341065,인천박문초등학교
E10,7310624,인천반도체고등학교
E10,7361033,인천발산초등학교
E10,7361034,인천백석초등학교
E10,7331023,인천백운초등학교
E10,7321026,인천백학초등학교
E10,7321228,인천별빛초등학교
E10,7331192,인천병방초등학교
E10,7310455,인천보건고등학교
E10,7361036,인천봉수초등학교
E10,7361018,인천봉화초등학교
E10,7331024,인천부개서초등학교
E10,7331025,인천부개초등학교
E10,7331026,인천부곡초등학교
E10,7331027,인천부광초등학교
E10,7331028,인천부내초등학교
E10,7331029,인천부마초등학교
