officeCode,schoolCode,schoolName
P10,8392053,가천초등학교
P10,8452041,가평초등학교
P10,8392051,간중초등학교
P10,8432022,갈담초등학교
P10,8362082,감곡중학교
P10,8362058,감곡초등학교
P10,8321199,강호항공고등학교
P10,8342116,개야도초등학교
P10,8342105,개정초등학교
P10,8462036,격포초등학교
P10,8422024,계남중학교
P10,8422016,계남초등학교
P10,8422025,계북중학교
P10,8422017,계북초등학교
P10,8462050,계화중학교
P10,8362083,고부중학교
P10,8362059,고부초등학교
P10,8321168,고산고등학교
P10,8392077,고산중학교
P10,8392054,고산초등학교
P10,8452030,고수초등학교
P10,8321197,고창고등학교
P10,8452062,고창남중학교
P10,8452029,고창남초등학교
P10,8452063,고창부안초등학교
P10,8321200,고창북고등학교
P10,8452061,고창북중학교
P10,8452049,고창중학교
P10,8452028,고창초등학교
P10,8462045,곰소초등학교
P10,8382053,공덕초등학교
P10,8452050,공음중학교
P10,8452031,공음초등학교
P10,8432038,관촌중학교
P10,8432023,관촌초등학교
P10,8382055,광활초등학교
P10,8412022,괴목초등학교
P10,8362044,교암초등학교
P10,8442037,구림중학교
P10,8442023,구림초등학교
P10,8392078,구이중학교
P10,8392057,구이초등학교
P10,8412019,구천초등학교
P10,8342074,군산경포초등학교
P10,8321107,군산고등학교
P10,8342075,군산구암초등학교
P10,8342130,군산금강중학교
P10,8342076,군산금광초등학교
P10,8342129,군산금빛초등학교
P10,8321109,군산기계공업고등학교
P10,8342077,군산나운초등학교
P10,8342131,군산남중학교
P10,8342078,군산남초등학교
P10,8342079,군산내흥초등학교
P10,8342145,군산대성중학교
P10,8321111,군산동고등학교
P10,8342132,군산동산중학교
P10,8342133,군산동원중학교
P10,8342080,군산동초등학교
P10,8321226,군산명화학교
P10,8342081,군산문화초등학교
P10,8342082,군산미성초등학교
P10,8342083,군산미장초등학교
P10,8342134,군산산북중학교
P10,8342084,군산산북초등학교
P10,8321110,군산상일고등학교
P10,8342085,군산서초등학교
P10,8342086,군산서해초등학교
P10,8342135,군산서흥중학교
P10,8342087,군산수송초등학교
P10,8342088,군산신풍초등학교
P10,8342089,군산신흥초등학교
P10,8342097,군산아리울초등학교
P10,8321108,군산여자고등학교
P10,8321112,군산여자상업고등학교
P10,8321118,군산영광여자고등학교
P10,8342146,군산영광중학교
P10,8342090,군산용문초등학교
P10,8342136,군산월명중학교
P10,8342091,군산월명초등학교
P10,8342139,군산자양중학교
P10,8321115,군산제일고등학교
P10,8342148,군산제일중학교
P10,8321116,군산중앙고등학교
P10,8321117,군산중앙여자고등학교
P10,8342147,군산중앙중학교
P10,8342092,군산중앙초등학교
P10,8342137,군산중학교
P10,8342093,군산지곡초등학교
P10,8342138,군산진포중학교
P10,8342094,군산진포초등학교
P10,8342095,군산초등학교
P10,8342096,군산푸른솔초등학교
P10,8342098,군산풍문초등학교
P10,8342099,군산흥남초등학교
P10,8321236,글로벌학산고등학교
P10,8442024,금과초등학교
P10,8382083,금구중학교
P10,8382056,금구초등학교
P10,8352115,금마초등학교
P10,8382059,금산초등학교
P10,8382087,금성중학교
P10,8342110,금암초등학교
P10,8372042,금지동초등학교
P10,8372065,금지중학교
P10,8372043,금지초등학교
P10,8382044,김제검산초등학교
P10,8321158,김제고등학교
P10,8321160,김제농생명마이스터고등학교
P10,8382045,김제동초등학교
P10,8382046,김제북초등학교
P10,8321162,김제서고등학교
P10,8321159,김제여자고등학교
P10,8382081,김제중앙중학교
P10,8382047,김제중앙초등학교
P10,8382082,김제중학교
P10,8382048,김제초등학교
P10,8342140,나포중학교
P10,8342107,나포초등학교
P10,8382062,난산초등학교
P10,8392063,남관초등학교
P10,8321125,남성고등학교
P10,8352158,남성중학교
P10,8382078,남양초등학교
P10,8321149,남원고등학교
P10,8372033,남원교룡초등학교
P10,8321155,남원국악예술고등학교
P10,8372034,남원노암초등학교
P10,8372045,남원대산초등학교
P10,8372035,남원도통초등학교
P10,8372046,남원서원초등학교
P10,8321154,남원서진여자고등학교
P10,8321150,남원여자고등학교
P10,8372036,남원왕치초등학교
P10,8321151,남원용성고등학교
P10,8372060,남원용성중학교
P10,8372037,남원용성초등학교
P10,8372038,남원월락초등학교
P10,8321156,남원제일고등학교
P10,8372039,남원중앙초등학교
P10,8372061,남원중학교
P10,8372040,남원초등학교
P10,8372062,남원하늘중학교
P10,8372063,남원한빛중학교
P10,8352117,낭산초등학교
P10,8462058,낭주중학교
P10,8362045,내장초등학교
P10,8362064,능교초등학교
P10,8321224,다솜학교
P10,8352113,다송초등학교
P10,8342122,당북초등학교
P10,8372066,대강중학교
P10,8372044,대강초등학교
P10,8392058,대덕초등학교
P10,8432028,대리초등학교
P10,8452033,대산초등학교
P10,8452051,대성중학교
P10,8452044,대아초등학교
P10,8342108,대야남초등학교
P10,8342109,대야초등학교
P10,8341089,대야초등학교광산분교장
P10,8362070,대흥초등학교
P10,8372047,덕과초등학교
P10,8321163,덕암고등학교
P10,8321164,덕암정보고등학교
P10,8382088,덕암중학교
P10,8362060,덕천초등학교
P10,8432024,덕치초등학교
P10,8362061,도학초등학교
P10,8321194,동계고등학교
P10,8442038,동계중학교
P10,8442025,동계초등학교
P10,8321161,동국대학교사범대학부속금산고등학교
P10,8382091,동국대학교사범대학부속금산중학교
P10,8462032,동북초등학교
P10,8442026,동산초등학교
P10,8392061,동상초등학교
P10,8362046,동신초등학교
P10,8321089,동암고등학교
P10,8321227,동암차돌학교
P10,8392065,동양초등학교
P10,8462033,동진초등학교
P10,8402033,동향중학교
P10,8402021,동향초등학교
P10,8452046,동호초등학교
P10,8321179,마령고등학교
P10,8402034,마령중학교
P10,8402022,마령초등학교
P10,8342111,마룡초등학교
P10,8432031,마암초등학교
P10,8321165,만경고등학교
P10,8321166,만경여자고등학교
P10,8382089,만경여자중학교
P10,8382090,만경중학교
P10,8382052,만경초등학교
P10,8352119,망성초등학교
P10,8452034,매산초등학교
P10,8342117,무녀도초등학교
P10,8452035,무장초등학교
P10,8321184,무주고등학교
P10,8412014,무주중앙초등학교
P10,8412024,무주중학교
P10,8412015,무주초등학교
P10,8321183,무풍고등학교
P10,8412025,무풍중학교
P10,8412016,무풍초등학교
P10,8342100,문창초등학교
P10,8342101,미룡초등학교
P10,8352116,미륵초등학교
P10,8342106,발산초등학교
P10,8321140,배영고등학교
P10,8362091,배영중학교
P10,8382063,백구초등학교
P10,8462034,백룡초등학교
P10,8321208,백산고등학교
P10,8462060,백산중학교
P10,8462035,백산초등학교
P10,8382049,백석초등학교
P10,8362074,백암초등학교
P10,8402035,백운중학교
P10,8402023,백운초등학교
P10,8321238,백화고등학교
P10,8422026,번암중학교
P10,8422018,번암초등학교
P10,8422019,번암초등학교동화분교장
P10,8382069,벽량초등학교
P10,8462061,변산서중학교
P10,8462056,변산중학교
P10,8462037,변산초등학교
P10,8362062,보성초등학교
P10,8462051,보안중학교
P10,8372067,보절중학교
P10,8372048,보절초등학교
P10,8442039,복흥중학교
P10,8442027,복흥초등학교
P10,8382084,봉남중학교
P10,8382067,봉남초등학교
P10,8392043,봉동초등학교
P10,8392055,봉동초등학교양화분교장
P10,8392073,봉서중학교
P10,8392044,봉서초등학교
P10,8392045,봉성초등학교
P10,8452036,봉암초등학교
P10,8402036,부귀중학교
P10,8402024,부귀초등학교
P10,8412026,부남중학교
P10,8412017,부남초등학교
P10,8412018,부당초등학교
P10,8321203,부안고등학교
P10,8462027,부안남초등학교
P10,8462028,부안동초등학교
P10,8321209,부안여자고등학교
P10,8462049,부안중학교
P10,8462029,부안초등학교
P10,8382064,부용초등학교
P10,8362063,북면초등학교
P10,8382071,비룡초등학교
P10,8392062,비봉초등학교
P10,8372049,사매초등학교
P10,8372068,산내중학교
P10,8372050,산내초등학교
P10,8372051,산동초등학교
P10,8321188,산서고등학교
P10,8422027,산서중학교
P10,8422020,산서초등학교
P10,8362085,산외중학교
P10,8362065,산외초등학교
P10,8432039,삼계중학교
P10,8432025,삼계초등학교
P10,8352151,삼기중학교
P10,8352121,삼기초등학교
P10,8462059,삼남중학교
P10,8392048,삼례동초등학교
P10,8392049,삼례중앙초등학교
P10,8392075,삼례중학교
P10,8392050,삼례초등학교
P10,8392083,삼우중학교
P10,8392056,삼우초등학교
P10,8392079,상관중학교
P10,8392064,상관초등학교
P10,8321090,상산고등학교
P10,8462052,상서중학교
P10,8462039,상서초등학교
P10,8452052,상하중학교
P10,8452038,상하초등학교
P10,8342115,새만금초등학교
P10,8362079,샘고을중학교
P10,8321207,서림고등학교
P10,8342112,서수초등학교
P10,8362047,서신초등학교
P10,8321141,서영여자고등학교
P10,8332212,서전주중학교
P10,8352122,석불초등학교
P10,8452032,선동초등학교
P10,8342143,선유도중학교
P10,8321181,설천고등학교
P10,8412027,설천중학교
P10,8412020,설천초등학교
P10,8432037,섬진중학교
P10,8452053,성내중학교
P10,8452039,성내초등학교
P10,8352152,성당중학교
P10,8352123,성당초등학교
P10,8382070,성덕초등학교
P10,8352120,성북초등학교
P10,8342113,성산초등학교
P10,8452040,성송초등학교
P10,8432040,성수중학교
P10,8432026,성수초등학교
P10,8321157,성원고등학교
P10,8321126,성일고등학교
P10,8321172,세인고등학교
P10,8342102,소룡초등학교
P10,8362086,소성중학교
P10,8362066,소성초등학교
P10,8392066,소양서초등학교
P10,8392080,소양중학교
P10,8392067,소양초등학교
P10,8392068,송광초등학교
P10,8372069,송동중학교
P10,8372052,송동초등학교
P10,8402028,송풍초등학교
P10,8362075,수곡초등학교
P10,8422014,수남초등학교
P10,8372053,수지초등학교
P10,8321196,순창고등학교
P10,8442041,순창북중학교
P10,8442035,순창여자중학교
P10,8321195,순창제일고등학교
P10,8442020,순창중앙초등학교
P10,8442036,순창중학교
P10,8442021,순창초등학교
P10,8342125,술산초등학교
P10,8442028,시산초등학교
P10,8432027,신덕초등학교
P10,8452054,신림중학교
P10,8452042,신림초등학교
P10,8342119,신시도초등학교
P10,8321142,신태인고등학교
P10,8362094,신태인중학교
P10,8362057,신태인초등학교
P10,8432029,신평초등학교
P10,8452055,심원중학교
P10,8452043,심원초등학교
P10,8382075,심창초등학교
P10,8442040,쌍치중학교
P10,8442029,쌍치초등학교
P10,8452056,아산중학교
P10,8452045,아산초등학교
P10,8372071,아영중학교
P10,8372054,아영초등학교
P10,8321182,안성고등학교
P10,8412028,안성중학교
P10,8412021,안성초등학교
P10,8321178,안천고등학교
P10,8402038,안천중학교
P10,8402027,안천초등학교
P10,8321083,양현고등학교
P10,8321122,여산고등학교
P10,8352153,여산중학교
P10,8352124,여산초등학교
P10,8352125,영만초등학교
P10,8362048,영산초등학교
P10,8321202,영선고등학교
P10,8452060,영선중학교
P10,8362067,영원초등학교
P10,8462038,영전초등학교
P10,8372055,오동초등학교
P10,8342127,오봉초등학교
P10,8352126,오산남초등학교
P10,8352127,오산초등학교
P10,8432041,오수중학교
P10,8432030,오수초등학교
P10,8402018,오천초등학교
P10,8342141,옥구중학교
P10,8342104,옥구초등학교
