officeCode,schoolCode,schoolName
Q10,8721038,가거도초등학교
Q10,8721039,가거도초등학교신안흑산중학교가거도분교장
Q10,8561048,가사문학초등학교
Q10,8581012,간문초등학교
Q10,8490032,강진고등학교
Q10,8631009,강진대구중학교
Q10,8631012,강진동초등학교
Q10,8631004,강진여자중학교
Q10,8631010,강진작천중학교
Q10,8631011,강진중앙초등학교
Q10,8631003,강진중학교
Q10,8631008,강진칠량중학교
Q10,8511019,거문중학교
Q10,8511091,거문초등학교
Q10,8601026,겸백초등학교
Q10,8511040,경호초등학교
Q10,8641032,계곡초등학교
Q10,8631015,계산초등학교
Q10,8490245,고금고등학교
Q10,8701005,고금중학교
Q10,8701024,고금초등학교
Q10,8571011,고달초등학교
Q10,8561020,고서초등학교
Q10,8711006,고성중학교
Q10,8711016,고성초등학교
Q10,8490033,고흥고등학교
Q10,8591014,고흥과역중학교
Q10,8591015,고흥남양중학교
Q10,8591017,고흥대서중학교
Q10,8591007,고흥도덕중학교
Q10,8490222,고흥도화고등학교
Q10,8591009,고흥도화중학교
Q10,8591018,고흥동초등학교
Q10,8591012,고흥백양중학교
Q10,8490323,고흥산업과학고등학교
Q10,8591004,고흥여자중학교
Q10,8490322,고흥영주고등학교
Q10,8591013,고흥점암중앙중학교
Q10,8591003,고흥중학교
Q10,8591006,고흥풍양중학교
Q10,8490035,곡성고등학교
Q10,8571007,곡성중앙초등학교
Q10,8571004,곡성중학교
Q10,8551032,골약초등학교
Q10,8531028,공산초등학교
Q10,8591035,과역초등학교
Q10,8511066,관기초등학교
Q10,8621017,관산남초등학교
Q10,8621016,관산초등학교
Q10,8490077,광남고등학교
Q10,8551037,광양가야초등학교
Q10,8490037,광양고등학교
Q10,8551010,광양골약중학교
Q10,8551009,광양다압중학교
Q10,8551021,광양덕례초등학교
Q10,8551018,광양동초등학교
Q10,8551092,광양마동중학교
Q10,8551041,광양마동초등학교
Q10,8551090,광양마로초등학교
Q10,8490243,광양백운고등학교
Q10,8551015,광양백운중학교
Q10,8551044,광양백운초등학교
Q10,8551019,광양북초등학교
Q10,8551017,광양서초등학교
Q10,8490038,광양여자고등학교
Q10,8551005,광양여자중학교
Q10,8551102,광양와우초등학교
Q10,8551091,광양용강중학교
Q10,8551042,광양용강초등학교
Q10,8490078,광양제철고등학교
Q10,8551046,광양제철남초등학교
Q10,8551016,광양제철중학교
Q10,8551045,광양제철초등학교
Q10,8551014,광양중동중학교
Q10,8551039,광양중동초등학교
Q10,8551035,광양중마초등학교
Q10,8551034,광양중앙초등학교
Q10,8551040,광양중진초등학교
Q10,8551004,광양중학교
Q10,8551008,광양진월중학교
Q10,8551043,광양칠성초등학교
Q10,8490433,광양하이텍고등학교
Q10,8490517,광양햇살학교
Q10,8490299,광영고등학교
Q10,8551012,광영중학교
Q10,8551036,광영초등학교
Q10,8581016,광의초등학교
Q10,7006150,광주교육대학교목포부설초등학교
Q10,8490039,구례고등학교
Q10,8581006,구례동중학교
Q10,8581007,구례북중학교
Q10,8581010,구례북초등학교
Q10,8581008,구례산동중학교
Q10,8581005,구례여자중학교
Q10,8581009,구례중앙초등학교
Q10,8581004,구례중학교
Q10,8490120,구림공업고등학교
Q10,8651007,구림중학교
Q10,8651026,구림초등학교
Q10,8681029,군남초등학교
Q10,8711014,군내북초등학교
Q10,8631014,군동초등학교
Q10,8681028,군서초등학교
Q10,8701008,군외중학교
Q10,8701020,군외초등학교
Q10,8701009,금당중학교
Q10,8701030,금당초등학교
Q10,8591008,금산중학교
Q10,8591025,금산초등학교
Q10,8490079,금성고등학교
Q10,8531016,금성중학교
Q10,8561017,금성초등학교
Q10,8711015,금성초등학교
Q10,8701028,금일동초등학교
Q10,8701011,금일중학교
Q10,8701012,금일중학교생일분교장
Q10,8701026,금일초등학교
Q10,8651018,금정초등학교
Q10,8531035,금천초등학교
Q10,8671013,기산초등학교
Q10,8671035,나산실용예술중학교
Q10,8671020,나산초등학교
Q10,8490040,나주고등학교
Q10,8531008,나주공산중학교
Q10,8490169,나주공업고등학교
Q10,8531006,나주금천중학교
Q10,8531007,나주다시중학교
Q10,8531011,나주동강중학교
Q10,8531013,나주문평중학교
Q10,8531014,나주반남중학교
Q10,8531012,나주봉황중학교
Q10,8531021,나주북초등학교
Q10,8490373,나주상업고등학교
Q10,8490398,나주이화학교
Q10,8531020,나주중앙초등학교
Q10,8531004,나주중학교
Q10,8531019,나주초등학교
Q10,8511071,나진초등학교
Q10,8601023,낙성초등학교
Q10,8521060,낙안초등학교
Q10,8490301,남악고등학교
Q10,8661010,남악중학교
Q10,8661031,남악초등학교
Q10,8591036,남양초등학교
Q10,8591037,남양초등학교우도분교장
Q10,8531009,남평중학교
Q10,8531010,남평중학교다도분교장
Q10,8531038,남평초등학교
Q10,8701038,넙도초등학교
Q10,8701065,넙도초등학교노화중학교넙도분교장
Q10,8701039,넙도초등학교서리분교장
Q10,8601024,노동초등학교
Q10,8531034,노안남초등학교
Q10,8531015,노안중학교
Q10,8531033,노안초등학교
Q10,8490289,노화고등학교
