officeCode,schoolCode,schoolName
I10,9300212,가득초등학교
I10,9300187,가락초등학교
I10,9300037,감성초등학교
I10,9300178,고운고등학교
I10,9300174,고운중학교
I10,9300168,고운초등학교
I10,9300218,글벗중학교
I10,9300214,글벗초등학교
I10,9300036,금남초등학교
I10,9300049,금호중학교
I10,9300126,나래초등학교
I10,9300315,나루초등학교
I10,9300286,나성중학교
I10,9300285,나성초등학교
I10,9300172,늘봄초등학교
I10,9300171,다빛초등학교
I10,9300235,다정고등학교
I10,9300227,다정중학교
I10,9300226,다정초등학교
I10,9300231,대평초등학교
I10,9300107,도담고등학교
I10,9300106,도담중학교
I10,9300105,도담초등학교
I10,9300177,두루고등학교
I10,9300173,두루중학교
I10,9300166,두루초등학교
I10,9300119,미르초등학교
I10,9300347,바른초등학교
I10,9300265,반곡고등학교
I10,9300238,반곡중학교
I10,9300236,반곡초등학교
I10,9300191,보람고등학교
I10,9300217,보람중학교
I10,9300190,보람초등학교
I10,9300052,부강중학교
I10,9300043,부강초등학교
I10,9300216,새뜸중학교
I10,9300211,새뜸초등학교
I10,9300219,새롬고등학교
I10,9300123,새롬중학교
I10,9300210,새롬초등학교
I10,9300215,새움중학교
I10,9300229,새움초등학교
I10,9300054,세종고등학교
I10,9300181,세종과학예술영재학교
I10,9300108,세종국제고등학교
I10,9300188,세종누리학교
I10,9300331,세종늘벗학교
I10,9300278,세종대성고등학교
I10,9300184,세종도원초등학교
I10,9300329,세종미래고등학교
I10,9300185,세종여자고등학교
I10,9300233,세종예술고등학교
I10,9300317,세종이음학교
I10,9300266,세종장영실고등학교
I10,9300305,세종중학교 
I10,9300220,소담고등학교
I10,9300195,소담중학교
I10,9300194,소담초등학교
I10,9300039,소정초등학교
I10,9300239,솔빛초등학교
I10,9300035,수왕초등학교
I10,9300032,쌍류초등학교
I10,9300117,아름고등학교
I10,9300116,아름중학교
I10,9300115,아름초등학교
I10,9300179,양지고등학교
I10,9300175,양지중학교
I10,9300128,양지초등학교
I10,9300201,어진중학교
I10,9300213,여울초등학교
I10,9300034,연남초등학교
I10,9300047,연동중학교
I10,9300029,연동초등학교
I10,9300033,연봉초등학교
I10,9300048,연서중학교
I10,9300031,연서초등학교
I10,9300111,연세초등학교
I10,9300121,연양초등학교
I10,9300169,온빛초등학교
I10,9300167,으뜸초등학교
I10,9300042,의랑초등학교
I10,9300051,장기중학교
I10,9300041,장기초등학교
I10,9300040,전동초등학교
I10,9300050,전의중학교
I10,9300038,전의초등학교
I10,9300027,조치원교동초등학교
I10,9300025,조치원대동초등학교
I10,9300026,조치원명동초등학교
I10,9300028,조치원신봉초등학교
I10,9300045,조치원중학교
I10,9300180,종촌고등학교
I10,9300176,종촌중학교
I10,9300170,종촌초등학교
I10,9300311,집현중학교
I10,9300310,집현초등학교
I10,9300044,참샘초등학교
I10,9300224,한결초등학교
I10,9300058,한솔고등학교
I10,9300053,한솔중학교
I10,9300087,한솔초등학교
I10,9300270,해밀고등학교
I10,9300269,해밀중학교
I10,9300268,해밀초등학교
