officeCode,schoolCode,schoolName
B10,       ,(가칭)서울온라인학교
B10,7010057,가락고등학교
B10,7130165,가락중학교
B10,7041164,가산중학교
B10,7130166,가원중학교
B10,7011169,가재울고등학교
B10,7031261,가재울중학교
B10,7132123,강남중학교
B10,7010117,강동고등학교
B10,7130167,강동중학교
B10,7130168,강명중학교
B10,7121341,강북중학교
B10,7130268,강빛중학교
B10,7010118,강서고등학교
B10,7010270,강서공업고등학교
B10,7081484,강신중학교
B10,7010958,강일고등학교
B10,7130169,강일중학교
B10,7132124,강현중학교
B10,7041165,개봉중학교
B10,7121342,개운중학교
B10,7041166,개웅중학교
B10,7091420,개원중학교
B10,7010058,개포고등학교
B10,7091421,개포중학교
B10,7130170,거원중학교
B10,7010119,건국대학교사범대학부속고등학교
B10,7134119,건국대학교사범대학부속중학교
B10,7010059,경기고등학교
B10,7010271,경기기계공업고등학교
B10,0,경기기계공업고등학교부설미래기술교육센터
B10,7010272,경기상업고등학교
B10,7010060,경기여자고등학교
B10,7010385,경기여자고등학교부설방송통신고등학교
B10,7031110,경기초등학교
B10,7010061,경동고등학교
B10,7010386,경동고등학교부설방송통신고등학교
B10,7010120,경문고등학교
B10,7010062,경복고등학교
B10,7010387,경복고등학교부설방송통신고등학교
B10,7010835,경복비즈니스고등학교
B10,7010122,경복여자고등학교
B10,7134077,경복초등학교
B10,7081485,경서중학교
B10,7010124,경성고등학교
B10,7031179,경성중학교
B10,7134120,경수중학교
B10,7010125,경신고등학교
B10,7061094,경신중학교
B10,7091422,경원중학교
B10,7010563,경인고등학교
B10,7041167,경인중학교
B10,7010698,경일고등학교
B10,7134121,경일중학교
B10,7010126,경희고등학교
B10,7010127,경희여자고등학교
B10,7021122,경희여자중학교
B10,7021123,경희중학교
B10,7021079,경희초등학교
B10,7011312,계성고등학교
B10,7091368,계성초등학교
B10,7130171,고덕중학교
B10,7010797,고려대학교사범대학부속고등학교
B10,7121358,고려대학교사범대학부속중학교
B10,7011487,고명외식고등학교
B10,7121359,고명중학교
B10,7010063,고척고등학교
B10,7041168,고척중학교
B10,7051174,공릉중학교
B10,7010064,공항고등학교
B10,7081487,공항중학교
B10,7010065,관악고등학교
B10,7132125,관악중학교
B10,7010066,광남고등학교
B10,7134122,광남중학교
B10,7010131,광문고등학교
B10,7010132,광성고등학교
B10,7031180,광성중학교
B10,7010523,광성하늘빛학교
B10,7010133,광신고등학교
B10,7011488,광신방송예술고등학교
B10,7132126,광신중학교
B10,7010067,광양고등학교
B10,7134123,광양중학교
B10,7010134,광영고등학교
B10,7010135,광영여자고등학교
B10,7011505,광운인공지능고등학교
B10,7051175,광운중학교
B10,7121335,광운초등학교
B10,7134124,광장중학교
B10,7134125,광진중학교
B10,7134126,광희중학교
B10,7010575,교남학교
B10,7010068,구로고등학교
B10,7041169,구로중학교
B10,7091423,구룡중학교
B10,7031181,구산중학교
B10,7011111,구암고등학교
B10,7132127,구암중학교
B10,7134127,구의중학교
B10,7010069,구일고등학교
B10,7041170,구일중학교
B10,7010827,구현고등학교
